ID, Loan Amount ,Term,Interest Rate, Installment ,Home Owner, Amount ,Verification Status,Issue Date,Loan Status,Purpose,Total Payment
96," ? 31,500 ",60 months,11.90%, ? 699 ,OWN," ? 31,350 ",Source Verified,2015-06-04,Fully Paid,other," ? 43,457 "
97," ? 26,000 ",60 months,22.09%, ? 719 ,RENT," ? 26,100 ",Verified,2015-09-11,Fully Paid,home_improvement," ? 43,909 "
98," ? 25,000 ",60 months,24.81%, ? 731 ,RENT," ? 24,950 ",Source Verified,2016-11-02,Current,debt_consolidation," ? 6,050 "
99," ? 30,500 ",60 months,12.04%, ? 679 ,RENT," ? 30,400 ",Verified,2015-03-18,Fully Paid,credit_card," ? 39,103 "
100," ? 9,500 ",36 months,13.42%, ? 322 ,OWN," ? 9,600 ",Source Verified,2015-11-13,Current,home_improvement," ? 6,958 "
101," ? 27,000 ",60 months,11.59%, ? 595 ,MORTGAGE," ? 26,950 ",Source Verified,2016-04-28,Current,debt_consolidation," ? 18,258 "
102," ? 23,500 ",36 months,11.52%, ? 775 ,OWN," ? 23,650 ",Verified,2016-03-10,Charged Off,credit_card," ? 5,820 "
103," ? 22,000 ",36 months,8.52%, ? 695 ,MORTGAGE," ? 21,850 ",Not Verified,2016-02-29,Fully Paid,car," ? 24,341 "
104," ? 10,000 ",60 months,17.92%, ? 254 ,RENT," ? 9,900 ",Not Verified,2016-05-28,Current,debt_consolidation," ? 9,428 "
105," ? 9,000 ",36 months,21.80%, ? 343 ,RENT," ? 9,050 ",Verified,2016-06-27,Fully Paid,small_business," ? 12,372 "
106," ? 5,000 ",36 months,21.56%, ? 190 ,MORTGAGE," ? 4,850 ",Source Verified,2016-03-29,Current,debt_consolidation," ? 3,895 "
107," ? 34,000 ",36 months,18.87%," ? 1,244 ",RENT," ? 34,150 ",Not Verified,2017-05-23,Charged Off,credit_card," ? 25,254 "
108," ? 5,500 ",60 months,12.44%, ? 124 ,RENT," ? 5,400 ",Verified,2016-10-27,Fully Paid,credit_card," ? 7,262 "
109," ? 33,000 ",36 months,7.98%," ? 1,034 ",MORTGAGE," ? 32,950 ",Source Verified,2016-04-12,Fully Paid,car," ? 36,840 "
110," ? 7,000 ",36 months,12.25%, ? 233 ,RENT," ? 6,900 ",Not Verified,2017-08-29,Fully Paid,medical," ? 8,059 "
111," ? 7,000 ",60 months,13.45%, ? 161 ,RENT," ? 6,800 ",Source Verified,2016-11-06,Charged Off,debt_consolidation," ? 5,304 "
112," ? 28,000 ",60 months,20.42%, ? 748 ,OWN," ? 28,000 ",Source Verified,2017-11-05,Fully Paid,home_improvement," ? 43,665 "
113," ? 7,500 ",36 months,17.13%, ? 268 ,RENT," ? 7,500 ",Source Verified,2017-05-28,Current,other," ? 5,700 "
114," ? 2,500 ",36 months,19.16%, ? 92 ,MORTGAGE," ? 2,300 ",Verified,2016-09-24,Current,debt_consolidation, ? 690 
115," ? 10,000 ",36 months,14.02%, ? 342 ,RENT," ? 9,800 ",Verified,2017-12-22,Fully Paid,debt_consolidation," ? 12,112 "
116," ? 24,500 ",36 months,12.49%, ? 820 ,OWN," ? 24,350 ",Not Verified,2015-11-15,Fully Paid,home_improvement," ? 30,015 "
117," ? 18,000 ",36 months,14.48%, ? 619 ,MORTGAGE," ? 18,100 ",Verified,2017-11-15,Fully Paid,debt_consolidation," ? 21,815 "
118," ? 32,000 ",36 months,12.17%," ? 1,065 ",RENT," ? 31,800 ",Verified,2016-09-09,Current,small_business," ? 21,422 "
119," ? 19,500 ",36 months,6.15%, ? 595 ,MORTGAGE," ? 19,400 ",Verified,2017-12-26,Charged Off,credit_card," ? 11,416 "
120," ? 23,500 ",36 months,23.24%, ? 913 ,RENT," ? 23,300 ",Source Verified,2015-06-09,Current,credit_card," ? 14,589 "
121," ? 27,500 ",36 months,14.10%, ? 941 ,OWN," ? 27,400 ",Not Verified,2017-07-31,Current,other," ? 5,180 "
122," ? 7,500 ",36 months,17.78%, ? 270 ,MORTGAGE," ? 7,600 ",Not Verified,2016-11-26,Fully Paid,small_business," ? 9,319 "
123," ? 8,000 ",36 months,9.88%, ? 258 ,MORTGAGE," ? 8,050 ",Not Verified,2015-10-30,Fully Paid,debt_consolidation," ? 8,996 "
124," ? 10,500 ",60 months,19.11%, ? 273 ,RENT," ? 10,650 ",Source Verified,2017-07-08,Charged Off,moving," ? 7,489 "
125," ? 21,500 ",60 months,18.54%, ? 552 ,RENT," ? 21,350 ",Source Verified,2016-09-12,Current,credit_card," ? 10,311 "
126," ? 5,500 ",36 months,15.04%, ? 191 ,RENT," ? 5,500 ",Verified,2015-07-04,Charged Off,credit_card," ? 2,645 "
127," ? 3,500 ",36 months,22.20%, ? 134 ,MORTGAGE," ? 3,550 ",Source Verified,2017-10-23,Fully Paid,debt_consolidation," ? 4,634 "
128," ? 22,500 ",60 months,7.69%, ? 453 ,MORTGAGE," ? 22,300 ",Verified,2017-06-15,Current,credit_card," ? 12,660 "
129," ? 24,000 ",36 months,11.66%, ? 793 ,RENT," ? 24,050 ",Source Verified,2015-04-18,Current,home_improvement," ? 3,985 "
130," ? 7,000 ",36 months,13.73%, ? 238 ,RENT," ? 6,900 ",Verified,2015-10-17,Current,debt_consolidation," ? 4,235 "
131," ? 26,000 ",36 months,20.18%, ? 969 ,RENT," ? 26,100 ",Source Verified,2016-11-03,Current,home_improvement," ? 20,831 "
132," ? 34,500 ",36 months,19.41%," ? 1,272 ",MORTGAGE," ? 34,300 ",Source Verified,2016-01-05,Current,debt_consolidation," ? 25,625 "
133," ? 13,000 ",36 months,8.75%, ? 412 ,RENT," ? 12,850 ",Source Verified,2017-12-14,Fully Paid,debt_consolidation," ? 15,223 "
134," ? 9,000 ",36 months,9.09%, ? 287 ,RENT," ? 8,900 ",Not Verified,2015-03-31,Fully Paid,home_improvement," ? 10,046 "
135," ? 29,000 ",36 months,21.05%," ? 1,093 ",MORTGAGE," ? 28,950 ",Source Verified,2016-09-25,Current,small_business," ? 25,284 "
136," ? 13,000 ",36 months,24.94%, ? 516 ,OTHER," ? 13,150 ",Not Verified,2017-02-21,Fully Paid,debt_consolidation," ? 17,965 "
137," ? 13,500 ",60 months,8.77%, ? 279 ,RENT," ? 13,650 ",Not Verified,2015-07-30,Charged Off,credit_card," ? 4,179 "
138," ? 6,000 ",60 months,11.46%, ? 132 ,OWN," ? 5,900 ",Not Verified,2015-07-07,Current,debt_consolidation," ? 2,932 "
139," ? 23,000 ",60 months,14.30%, ? 539 ,RENT," ? 23,050 ",Verified,2015-06-17,Fully Paid,debt_consolidation," ? 33,718 "
140," ? 22,000 ",60 months,8.75%, ? 454 ,RENT," ? 22,150 ",Not Verified,2015-10-12,Current,debt_consolidation," ? 12,782 "
141," ? 6,000 ",36 months,10.31%, ? 194 ,RENT," ? 6,100 ",Verified,2016-08-13,Fully Paid,debt_consolidation," ? 6,818 "
142," ? 30,000 ",36 months,22.73%," ? 1,157 ",MORTGAGE," ? 29,800 ",Source Verified,2016-05-10,Charged Off,debt_consolidation," ? 8,357 "
143," ? 23,500 ",36 months,14.33%, ? 807 ,MORTGAGE," ? 23,350 ",Source Verified,2017-01-08,Fully Paid,credit_card," ? 29,071 "
144," ? 33,000 ",36 months,13.81%," ? 1,125 ",MORTGAGE," ? 33,100 ",Not Verified,2016-06-03,Charged Off,debt_consolidation," ? 9,193 "
145," ? 16,000 ",60 months,18.57%, ? 411 ,MORTGAGE," ? 16,050 ",Verified,2016-12-22,Fully Paid,car," ? 23,874 "
146," ? 30,500 ",60 months,15.57%, ? 735 ,RENT," ? 30,400 ",Verified,2017-07-26,Fully Paid,debt_consolidation," ? 45,368 "
147," ? 3,500 ",36 months,12.20%, ? 117 ,RENT," ? 3,650 ",Verified,2016-01-27,Fully Paid,vacation," ? 4,007 "
148," ? 22,000 ",36 months,21.99%, ? 840 ,RENT," ? 22,100 ",Not Verified,2017-03-02,Fully Paid,debt_consolidation," ? 30,824 "
149," ? 24,500 ",60 months,16.39%, ? 601 ,MORTGAGE," ? 24,600 ",Verified,2016-01-05,Fully Paid,debt_consolidation," ? 34,539 "
150," ? 19,500 ",36 months,18.05%, ? 705 ,RENT," ? 19,650 ",Source Verified,2015-03-28,Charged Off,other," ? 11,325 "
151," ? 28,500 ",36 months,25.60%," ? 1,142 ",OWN," ? 28,350 ",Source Verified,2017-04-11,Fully Paid,car," ? 41,858 "
152," ? 2,500 ",36 months,18.15%, ? 91 ,MORTGAGE," ? 2,300 ",Verified,2016-04-28,Current,debt_consolidation," ? 1,075 "
153," ? 3,000 ",36 months,19.58%, ? 111 ,OWN," ? 3,050 ",Source Verified,2015-06-07,Fully Paid,credit_card," ? 3,950 "
154," ? 18,500 ",36 months,8.27%, ? 582 ,MORTGAGE," ? 18,650 ",Source Verified,2015-08-30,Fully Paid,debt_consolidation," ? 20,841 "
155," ? 19,000 ",36 months,25.97%, ? 765 ,RENT," ? 18,900 ",Not Verified,2017-07-14,Fully Paid,major_purchase," ? 28,918 "
156," ? 21,000 ",36 months,20.19%, ? 782 ,MORTGAGE," ? 21,000 ",Not Verified,2015-11-19,Charged Off,other," ? 12,819 "
157," ? 24,000 ",36 months,8.43%, ? 757 ,RENT," ? 23,900 ",Verified,2017-10-08,Fully Paid,credit_card," ? 26,889 "
158," ? 9,000 ",36 months,7.72%, ? 281 ,RENT," ? 9,150 ",Source Verified,2017-04-18,Current,debt_consolidation," ? 6,910 "
159," ? 5,500 ",36 months,19.60%, ? 203 ,RENT," ? 5,400 ",Not Verified,2015-09-22,Fully Paid,other," ? 6,993 "
160," ? 8,500 ",36 months,12.08%, ? 283 ,RENT," ? 8,450 ",Verified,2017-11-28,Current,medical," ? 2,548 "
161," ? 18,500 ",36 months,12.06%, ? 615 ,MORTGAGE," ? 18,400 ",Source Verified,2015-11-12,Fully Paid,home_improvement," ? 23,030 "
162," ? 22,500 ",60 months,17.27%, ? 562 ,MORTGAGE," ? 22,300 ",Verified,2016-06-26,Charged Off,small_business," ? 12,373 "
163," ? 2,500 ",36 months,18.54%, ? 91 ,RENT," ? 2,500 ",Source Verified,2017-04-11,Fully Paid,debt_consolidation," ? 3,134 "
164," ? 29,000 ",36 months,15.29%," ? 1,009 ",RENT," ? 28,900 ",Verified,2016-10-15,Charged Off,vacation," ? 21,446 "
165," ? 9,000 ",60 months,16.30%, ? 220 ,RENT," ? 8,950 ",Source Verified,2016-07-01,Fully Paid,debt_consolidation," ? 12,624 "
166," ? 25,500 ",60 months,14.36%, ? 598 ,OWN," ? 25,400 ",Not Verified,2016-10-02,Fully Paid,debt_consolidation," ? 37,666 "
167," ? 30,500 ",36 months,12.17%," ? 1,016 ",RENT," ? 30,600 ",Source Verified,2016-05-08,Fully Paid,debt_consolidation," ? 34,915 "
168," ? 32,500 ",36 months,22.86%," ? 1,256 ",MORTGAGE," ? 32,500 ",Source Verified,2015-08-09,Fully Paid,moving," ? 46,234 "
169," ? 26,500 ",36 months,14.01%, ? 906 ,MORTGAGE," ? 26,450 ",Source Verified,2016-08-14,Fully Paid,credit_card," ? 33,472 "
170," ? 18,500 ",60 months,18.46%, ? 474 ,MORTGAGE," ? 18,400 ",Not Verified,2017-03-17,Fully Paid,other," ? 28,630 "
171," ? 24,000 ",60 months,9.98%, ? 510 ,MORTGAGE," ? 23,800 ",Verified,2015-10-08,Charged Off,car," ? 12,469 "
172," ? 10,500 ",36 months,16.31%, ? 371 ,RENT," ? 10,550 ",Verified,2016-09-04,Fully Paid,credit_card," ? 13,360 "
173," ? 32,000 ",60 months,12.00%, ? 712 ,MORTGAGE," ? 32,050 ",Verified,2015-08-13,Current,credit_card," ? 24,688 "
174," ? 2,500 ",36 months,11.31%, ? 82 ,MORTGAGE," ? 2,450 ",Not Verified,2017-09-10,Fully Paid,home_improvement," ? 2,995 "
175," ? 25,000 ",36 months,19.61%, ? 924 ,RENT," ? 24,850 ",Verified,2017-06-22,Fully Paid,debt_consolidation," ? 33,902 "
176," ? 27,000 ",36 months,18.23%, ? 979 ,MORTGAGE," ? 26,800 ",Not Verified,2017-11-28,Fully Paid,debt_consolidation," ? 35,824 "
177," ? 34,500 ",36 months,25.13%," ? 1,374 ",MORTGAGE," ? 34,550 ",Source Verified,2016-06-25,Charged Off,debt_consolidation," ? 14,771 "
178," ? 20,000 ",36 months,25.46%, ? 800 ,RENT," ? 20,000 ",Not Verified,2017-09-28,Fully Paid,debt_consolidation," ? 30,052 "
179," ? 18,500 ",36 months,17.47%, ? 664 ,MORTGAGE," ? 18,600 ",Not Verified,2015-10-27,Fully Paid,debt_consolidation," ? 24,413 "
180," ? 23,000 ",60 months,19.12%, ? 598 ,MORTGAGE," ? 22,950 ",Verified,2016-07-09,Current,major_purchase," ? 6,545 "
181," ? 16,000 ",36 months,19.40%, ? 590 ,MORTGAGE," ? 15,950 ",Verified,2017-04-26,Fully Paid,credit_card," ? 21,615 "
182," ? 9,500 ",36 months,17.01%, ? 339 ,OWN," ? 9,600 ",Source Verified,2017-09-01,Fully Paid,debt_consolidation," ? 12,761 "
183," ? 21,500 ",36 months,7.18%, ? 666 ,MORTGAGE," ? 21,450 ",Source Verified,2015-03-18,Current,debt_consolidation," ? 15,081 "
184," ? 12,000 ",60 months,6.73%, ? 236 ,MORTGAGE," ? 12,150 ",Verified,2016-08-15,Current,debt_consolidation," ? 6,244 "
185," ? 7,500 ",60 months,12.70%, ? 170 ,MORTGAGE," ? 7,650 ",Not Verified,2015-10-02,Current,debt_consolidation," ? 2,194 "
